Text,Language
"Wie bischt du? ""Ich bin gut, danke.""",Pennsylvania German
Ka samu kyakkyawan doki.,Hausa
Rediyo bata yi bayani akan hatsarin ba.,Hausa
Kyamarata ta bata kwanan baya.,Hausa
Wannan shine hakikanin abin da muke bukata.,Hausa
Ina kwana,Hausa
"This is wur room in the hotel, it's a rare big room.",Scots
Jock bocht twa new pair o' shin.,Scots
We hid a plate fu' o' neeps an tatties.,Scots
Whit did ye say?,Scots
Ah dinnae like this.,Scots
"Tasi, lua, tolu, fā, lima, ono, fitu, valu, iva, sefulu.",Samoan
Talofa lava!,Samoan
O lea?,Samoan
E fia le tau?,Samoan
E mafai ona ou fesoasoani ia 'oe?,Samoan
Munang ua fuma mas agora banoi.,Mambae
Au sempre hael la pada tuk lim.,Mambae
"Kuando o koleen, kola bue bell? ""Tan la au la bue agora au hi ble sedo dlo.""",Mambae
"Obrigadu, pei iduas.",Mambae
"Au hi tenta tnaer id heu, obrigadu.",Mambae
/ʔeˈkaʔ ʔɛˈmɛh niʔ caŋ/,Ngeq
/hɛː juːʔ talaːt/,Ngeq
/maj ʔeˈkaʔ ʔɛˈmɛh ŋɔɔjʔ daaʔ/,Ngeq
/maj ʔat ʔai muː/,Ngeq
/ʔeˈkaʔ ʔɛˈmɛh niʔ caŋ/,Ngeq
Ñaari téeméer.,Wolof
Fukkélu fane ak ñaar si wéér bii di ñeuw.,Wolof
Sant !,Wolof
Ban dekka nga faxeeku?,Wolof
Ñettéél.,Wolof
"Ave Maria grasa barak liu iha ita boot, Maromak ho ita boot. Ita boot diak liu feto hot-hotu ita boot nia oan Jesus diak liu. Santa Maria Maromak nia Inan, harohan ba Nai Maromak tamba ami nia sala, oras ne'e no oras nebe ami ata besik atu mate. Amen.",Tetum
Obrigada.,Tetum
Di'ak ka lae?,Tetum
Ha'u' komprende.,Tetum
Ha'u iha busa rua.,Tetum
Ká ne tajtzin Bush.,Pipil
"Yewa, nikwaj et iwan tajtamal.",Pipil
Tom kipia yey tzunti amat.,Pipil
Nemituya se yektzin siwat iwan tiltik itzunkal tik ne awilpan.,Pipil
Nikwajkwalua.,Pipil
Nou sizé anfas.,Middle French (ca. 1400-1600)
Elle ne soupe point.,Middle French (ca. 1400-1600)
Avwé sa ou fè !,Middle French (ca. 1400-1600)
"Frères humains qui après nous vivez, N'avez les cuers contre nous endurcis.",Middle French (ca. 1400-1600)
An ka chèché on boutik a flè.,Middle French (ca. 1400-1600)
עברי קדום אנוכי.,Ancient Hebrew
וַיֵּצֵא בַּיּוֹם הַשֵּׁנִי וְהִנֵּה שְׁנֵי־אֲנָשִׁים עִבְרִים נִצִּים וַיֹּאמֶר לָרָשָׁע לָמָּה תַכֶּה רֵעֶךָ׃,Ancient Hebrew
"יֵשׁ דָּבָר שֶׁיֹּאמַר רְאֵה-זֶה, חָדָשׁ הוּא: כְּבָר הָיָה לְעֹלָמִים, אֲשֶׁר הָיָה מִלְּפָנֵנוּ.",Ancient Hebrew
"וְנָתַתִּי אֶת-לִבִּי, לִדְרוֹשׁ וְלָתוּר בַּחָכְמָה, עַל כָּל-אֲשֶׁר נַעֲשָׂה, תַּחַת הַשָּׁמָיִם; הוּא עִנְיַן רָע, נָתַן אֱלֹקים לִבְנֵי הָאָדָם--לַעֲנוֹת בּוֹ.",Ancient Hebrew
יבוא המלך,Ancient Hebrew
Ndichamugochera nyama.,Shona
Ndichamugadzirira dovi.,Shona
Tinosona ngetsono.,Shona
Havagoni kusanda.,Shona
Tinobika ngemugoti.,Shona
Тӹдым ужмемым пишок яжон ӓшындарем.,Western Mari
Ик предатель ӓтямын партизанский отрядышты ылмыжы гишан йӓвен.,Western Mari
Юмо – тиде пӱртӱс лиеш. Пӱртӱс ваштареш ида кай!,Western Mari
Йӓлын цӹвыжат комбы.,Western Mari
А мондет гӹнь?,Western Mari
आंनि आयआ गांजेमा हमनो थांदोंमोन।,Bodo (India)
थाब फै।,Bodo (India)
थेदै नायनि फै।,Bodo (India)
आंनि आयआ गांजेमा हमनो थांदोंमोन।,Bodo (India)
Ma kalamdwng?,Bodo (India)
Tóó hooghanjigo dah diish’na’.,Navajo
Shimá naat'áaniinééz góó déyá.,Navajo
Yáʼátʼééh abiní shimá.,Navajo
Díí naaltsoos éí ni.,Navajo
Wááshindoongóó déyá.,Navajo
Ēḑõgid mōzõ.,Liv
Vȯndzist Ūdāigastõ!,Liv
Mēg ūomõ īd vannit.,Liv
Tēg tuļtõ āigastis.,Liv
Kui tēg tūndõt ēntšta?,Liv
"Zoccu mi dici dici, nun è veru mai.",Sicilian
Megghiu picca chianciri ca assai trivuliari.,Sicilian
Mi piaciunu assai i ricordi dû passatu.,Sicilian
L'ha criatu la natura pi li cori nnamurati.,Sicilian
"La natura criau stu silenziu, sta virdura, sti muntagni e sti vallati.",Sicilian
Ma haysaa?,Somali
Mennad ayaa caawiyay hooyadiis.,Somali
Waxaa jira warar xan ah oo sheegaya in xagjiriintu ay maleegayaan shirqool ka dhan ah dowladda.,Somali
Horey ayaan ula hadlay iyada.,Somali
Markab ayaa ku degay meel u dhow halkan shalay.,Somali
ᎦᎵᎡᎵᎦ ᏥᎬᎪᏩᏘᎭ.,Cherokee
ᎧᏅᏑᏢ ᏩᏯ ᎠᎨᏴ.,Cherokee
ᎩᎵᏏ ᏥᏬᏂᎭ.,Cherokee
ᎩᎵᏏ ᎯᏬᏂ ᏍᎩ?,Cherokee
ᏥᎪᏘ ᎤᏁᎦ ᎤᎵᏑᏫᏒ ᏢᏓᏥ.,Cherokee
Шачема шить мархта!,Moksha
Бурдж-Халифа тяни сембода оцю менелькъргама.,Moksha
Кендалхнень аш пейхть.,Moksha
Бурдж-Халифа тяни сембода оцю менелькъргама.,Moksha
Бурдж-Халифа тяни сембода оцю менелькъргама.,Moksha
ʻOku ou kai.,Tonga (Tonga Islands)
'Oku ke sai'ia 'i niu vai?,Tonga (Tonga Islands)
'Oku ou mahino.,Tonga (Tonga Islands)
Fiefia ke fetaulaki mo koe.,Tonga (Tonga Islands)
Mālō ‘aupito!,Tonga (Tonga Islands)
Da laachs de dich kapott.,Kölsch
Et kütt wie et kütt.,Kölsch
"Dää Daachstohl es nit wie söns us Holz jemaat, sondern us Ieser. Dodrin han se elf Jlocke opjehange. Wann die all lügge, hürt mer dat noch bes wigg op de Schäl Sick. Dää dikke Pitter es de jrößte Jlock vun de Welt, die frei am Schwinge es. 1923 wood se jejosse, hät ene Durchmesser vun jood 3,2 m un wooch 24 Tunne. Se weed nor jelügg et ovends vör huh Kirchefeste.",Kölsch
"Wat jitt dat, wenn et fädich es?",Kölsch
Letzte Woch hät mich ming Fründin besook.,Kölsch
میں اِس دا عادی نہیں ہاں۔,Western Panjabi
میں سکول جانا نہیں چاہندا ہاں۔,Western Panjabi
تہاڈا کیہ ناں اے؟,Western Panjabi
چلو کچھ کریئے۔,Western Panjabi
میں جلدی واپس آوانگی۔,Western Panjabi
Sekime tlamantli amo kualtis moyektlalis.,Orizaba Nahuatl
San inon tlen neh nikchiwa nikan.,Orizaba Nahuatl
Tom kualtis kualtlapowas Francés yompa ipampa yeh omomachti eyi xiwitl.,Orizaba Nahuatl
¿Teh timawiltitok futbol noso rugby?,Orizaba Nahuatl
Nochtin monekiskia kualtiskeh tlapowaskeh intlayehyekol.,Orizaba Nahuatl
Мен оқыўшы емеспен.,Kara-Kalpak
Qi'zi'mdi' ko'rdin' be?,Kara-Kalpak
Oqıtıwshı emespen.,Kara-Kalpak
Мен оқыўшы емеспен.,Kara-Kalpak
Qi'zi'mdi' ko'rdin'iz be?,Kara-Kalpak
Gh'ho nota.,Lombard
Gh'è mia rason da véec pagüra.,Lombard
Mé g'hoo cold.,Lombard
"Vun, duu, trii, quatter, cinqu, ses, sett, vott, noeuv, des.",Lombard
Té ta seet fort.,Lombard
"Chi chaunta da sted, lavura d'inviern.",Romansh
Tuots umans naschan libers ed eguals in dignità e drets. Els sun dotats cun intellet e conscienza e dessan agir tanter per in uin spiert da fraternità.,Romansh
Ün sto fer la via lungia per spargner temp.,Romansh
Betg mintgin sa esser in artist.,Romansh
"Nua abitais Vus? ""Jau abitesch a Tokyo.""",Romansh
Kitnaa daam hai?,Fiji Hindi
Dhanbaad!,Fiji Hindi
Hamaar naam Luis hai.,Fiji Hindi
Bar kahaan hai?,Fiji Hindi
"Ek, dui, tin, chaar, paanch, chhe, saat, aath, nau, das.",Fiji Hindi
Vel oo toiggal?,Manx
Slane dhis!,Manx
Shegin dooin goll ec jerrey y vee.,Manx
Shegin da goll dys yn ‘eeackleyr jiu.,Manx
Cre voish t'ou?,Manx
La masokisi awakho.,Zulu
Ngizogqoka ijini.,Zulu
Ninjani?,Zulu
Ngiyagoduka.,Zulu
Ngiyakuzonda.,Zulu
Вә нянли.,Dungan
Вә бущихуан кафый.,Dungan
Вә җы ни җы вә җы.,Dungan
Та бу хун.,Dungan
Вә чў гунүан.,Dungan
А мезень кис.,Erzya
Совадо!,Erzya
Черепахатнень пеест арасть.,Erzya
Том снартнесь кортамс мартот?,Erzya
Саминь мельс а туить ёзнэть.,Erzya
啊丹啊心唔好意。,Hakka Chinese
这黏阿丹安会变成大学生。,Hakka Chinese
涯去了在面包档。,Hakka Chinese
猴哥爬上树木。,Hakka Chinese
𠊎以为酱好唔讲么个。,Hakka Chinese
Gördünüz mü kızımı?,Gagauz
Bän yașêêrım Türkiyedä.,Gagauz
Sizdä var mı zeedä para?,Gagauz
Esaplamam dooruydu.,Gagauz
Gördün mü kızımı?,Gagauz
هاي فلوسي,Mesopotamian Arabic
فكرنا انه طبيعي لازم يتعاقب.,Mesopotamian Arabic
what are you,Mesopotamian Arabic
دتنكت مو!؟,Mesopotamian Arabic
شسوي برسالتهة؟,Mesopotamian Arabic
Мин ӱгренӌі нимеспін.,Khakas
Ол чіпче.,Khakas
Син чіпчезін.,Khakas
"Öкiстерге ööрлiг пол, чалғыстарға чағлығ пол.",Khakas
Олар чіпчелер.,Khakas
Ak chad er a Sina.,Palauan
Ng diak!,Palauan
A Burj Khalifa a kot el metongakl el blai ra beluulechad.,Palauan
Ng tela a dengua er kau?,Palauan
Chochoi.,Palauan
Ndanda.,Umbundu
Ukombe weya.,Umbundu
Ekumbi liwa.,Umbundu
Twecele!,Umbundu
Wakolapo?,Umbundu
တင္ဂုဏ္ရ က ေပါတ္ ကု္ တဲ ေကာန္ အဲ ဂွ္။,Mon
အဲ အာ ဘာ မ ဂြံ ဗ ေတာန္ လိက္ ရ။,Mon
ဂြံဆုၤ ္ဗုီဏအ္ဂွ္ မိပ္ေကြံေကြံရ။ မံင္စမိပ္မံင္ရဟာ။,Mon
အဲ အာ ဘာ မ ဂြံ ဗ ေတာန္ လိက္ ရ။,Mon
အဲ အာ ဘာ မ ဂြံ ဗ ေတာန္ လိက္ ရ။,Mon
Jaangol waɗii.,Pulaar
Henndu no waɗii.,Pulaar
No jaangini.,Pulaar
Henndu no waɗii.,Pulaar
Henndu no waɗii.,Pulaar
Ооң ады кымыл?,Tuvinian
Хар эриир.,Tuvinian
Том хөй амы-тын алган.,Tuvinian
Школага баарын күзевес мен.,Tuvinian
Мен эки эвес тур мен.,Tuvinian
"ართ, ჟურ, სუმ, ოთხო, ხუთ, ანში, შქვით, ოვრო, ჩხორო, ვიტ.",Laz
ქორბა მაწუნენ.,Laz
სი მუჭო რე?,Laz
მა ლაზი ვორე.,Laz
Sum ťeyare miğuran.,Laz
kò sí wahála.,Yoruba
Mo lọ sí odò.,Yoruba
Ẹṣin yìí kìí ṣe funfun.,Yoruba
"Èmi yóò dìde nísinsin yìí, èmi yóò sì rìn lọ káàkiri ìlú, ní àwọn òpópónà àti ní àwọn gbangba òde; Èmi yóò wá ẹni tí ọkàn mi fẹ́.",Yoruba
Kaabo padà sí ilé,Yoruba
Ek em.,Old Norse
Logi var stærri ok sterkari en nokkurr annarr í því landi.,Old Norse
Hundrinn deyr.,Old Norse
"Guð minn, guð minn, hví fyrlætr þú mik?",Old Norse
Ek vinn.,Old Norse
די לחכימא ברמיזא.,Old Aramaic (up to 700 BCE)
וּקְרָא אַבְרָהָם יָת שׁוּם בְּרֵיהּ דְּאִתְיְלִיד לֵיהּ דִּילִידַת לֵיהּ שָׂרָה יִצְחָק:,Old Aramaic (up to 700 BCE)
וְנֹחַ אַשְׁכַּח רַחֲמִין קֳדָם יְיָ:,Old Aramaic (up to 700 BCE)
וַהֲוָה טוֹפָנָא אַרְבְּעִין יוֹמִין עַל אַרְעָא וּסְגִיאוּ מַיָּא וּנְטָלוּ יָת תֵּבוֹתָא וְאִתָּרָמַת מֵעַל אַרְעָא:,Old Aramaic (up to 700 BCE)
ܪܚܡܢܐ ܠܝܨܠܢ,Old Aramaic (up to 700 BCE)
تنهنجو نالو ڇا آهي؟,Sindhi
آپ سے مل کے بہت خوشی ہوئی.,Sindhi
تون ڪٿي رهندي آهين؟,Sindhi
آپ سے مل کے بہت خوشی ہوئی.,Sindhi
آپ سے مل کے بہت خوشی ہوئی.,Sindhi
Иуфазеи?,Abkhazian
Сара Лори сыхьӡуп.,Abkhazian
Сара сцоит.,Abkhazian
Сара ашә сфоит.,Abkhazian
Ашыкс чыц удысных ялойт!,Abkhazian
Ali munyumba muno.,Nyanja
Usiku wabwino!,Nyanja
Muli ndi zaka zingati?,Nyanja
Burj Khalifa ndi nyumba yaitali yosanjikizana padziko lonse lapansi.,Nyanja
Ali munyumba muno.,Nyanja
Nzàrà à sârà mbï !,Sango
Balaô!,Sango
Ïrï tî mbï Tom.,Sango
Nzàrà à sârà mbï !,Sango
Singîla !,Sango
"Ütś, katś, kolm, nelli, viiś, kuuś, säidse, katõsa, ütesä, kümme.",Võro
Kon ti elät?,Võro
Ma olõ mehhiklanõ.,Võro
"Sotsioloogia om tiidüs, miä uur ütiskunda.",Võro
Kikas om esäne kana.,Võro
Bona Die Internatzionale de sas Feminas!,Sardinian
Bene bènnidas a Tatoeba!,Sardinian
Bene bènnidu a Tatoeba!,Sardinian
Benènnida a Tatoeba!,Sardinian
Bona Die Internatzionale de sas Feminas!,Sardinian
"Хӏан-хӏа, суна английн мотт ца хаа.",Chechen
1. Нажи-бутт 2. Мархи-бутт 3. Биэкарг-бутт 4. Тушоли-бутт 5. Сели-бутт 6. Мангал-бутт 7. Мятсел-бутт 8. Эгиш-бутт 9. Тав-бутт 10. Ардар-бутт 11. Эрх-бутт 12. Огой-бутт,Chechen
Мас шо ду хьан?,Chechen
Суьйре дика йойла!,Chechen
Сан шиъ цициг ду.,Chechen
E i te faleha te faifeau.,Tokelau
Fakafetai.,Tokelau
"Malo ni, ea mai koe?",Tokelau
Te malie o te meakai.,Tokelau
E i te faleha te faifeau.,Tokelau
